S. No.,s1,s2,s3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
79,0.8,0.2,1,0.556988114466644,10061421.4023923,67574403886.1285,11490209110.625,30923699.5980617,56543.1238481106,15655.2112125966,61176.9815663453,11436.5567582391,51180.8957438333,67277.7436326381,26109.0784467428,28211800.4265262,1133346.24564926,40.6693336963654
80,0.8,0.4,0.2,0.622240334005631,10966162.2211769,74882000022.3437,12403527905.4368,35443914.128789,40003.1795226649,12853.9731930028,44991.1714277518,15566.9666137991,37783.4832233908,77747.0148665278,22560.4021023285,29939250.2385195,367423.846466612,38.5013070106506
81,0.8,0.4,0.4,0.605470583919185,10737308.1396358,73394284064.4936,12182646414.1755,35898055.8588223,60423.3659603378,9292.43461487468,46800.1816627229,18385.3508828456,41329.8170557411,67499.760279313,23324.425053771,27008336.5770154,1453478.71946741,36.7702832221985
82,0.8,0.4,0.6,0.590475077946982,10545157.6549745,72133807514.6909,11907381262.4334,33747360.7649684,47337.3912485492,9799.18231638054,84268.728746791,8185.77965153691,44298.338068566,35103.2764396577,14613.4625118549,28567210.8624699,889536.326193699,35.8586275577545
83,0.8,0.4,0.8,0.57331511481714,10290005.9418464,69357625471.0397,11707353424.091,32597717.3621651,53562.7229269507,15324.7021059939,66697.4413191746,15802.6216800628,38232.4984869217,46623.7443218493,27617.2191716584,27623219.5968277,1448894.66990455,37.3167917728424
84,0.8,0.4,1,0.555889524065437,10045943.231194,67390824474.6738,11521382502.4619,30983664.1285621,70826.1397400648,17503.8110338882,51151.8966097066,16915.5844629144,38828.0806769844,63283.9046149963,39260.2281928233,28305885.437724,892239.673724287,36.4003727436066
85,0.8,0.6,0.2,0.622921007675881,10968379.0846339,76827502167.5603,12339769234.0654,36484353.5609562,37814.0518784354,14667.2067220303,59539.7897875862,12285.1107898816,39317.5467330677,40588.5000511133,13612.0265623061,29133331.5248745,168201.244015669,32.3198671340942
86,0.8,0.6,0.4,0.605903423453223,10738331.2212356,75003953948.4355,12156911225.6059,37814478.0698154,42315.8619473388,21691.5884633788,65486.2967231892,15560.4890599659,29646.7685321439,37884.5595992629,24631.1624226221,26012958.8937875,567578.057633849,35.4129087924957
87,0.8,0.6,0.6,0.589852221625651,10520809.3652503,73217786444.9521,11927477478.5184,34945262.8597997,46672.6801721795,10690.9991442724,61904.83698476,15067.6342944161,37825.1008057182,47363.1300080635,29462.1828725337,28098790.6217023,24409.0043774956,29.6960959434509
88,0.8,0.6,0.8,0.572615491199178,10281308.4256196,72277528650.2439,11730338566.5113,34982135.9858194,62756.8966901133,12880.2999057105,60595.8678091235,18003.7694772798,34430.6321179786,82348.4216663342,23010.6506518583,25810179.1132879,801464.618187838,38.6539835929871
89,0.8,0.6,1,0.556404423151806,10079746.7079679,70178123163.4937,11508245521.106,35375567.4895831,59578.8878756222,16117.9236428301,36303.7869532185,13863.4437782324,54948.281645963,64225.222769889,31677.4794549408,24173116.114265,850534.329543039,41.1120750904083
90,0.8,0.8,0.2,0.622341805682592,10962576.9883247,78601189167.8869,12398139446.6815,38328459.0950009,62081.4169275475,10395.6291296725,53783.0680528165,13015.9053400139,33536.994130155,56437.6271845634,24135.0608591226,27323532.9010364,71410.9044397771,39.6056797504425
91,0.8,0.8,0.4,0.607462857641047,10759526.3152987,77211363038.6808,12099388041.803,37410749.8236277,39659.6172985709,12764.1137599405,48822.7782434235,9666.55961337626,26517.5509445078,53103.3592400835,20263.4659404066,26993895.8349233,134610.787849112,36.6340687274933
92,0.8,0.8,0.6,0.590630052027179,10540895.0728023,75668885106.729,11902382160.4941,38537937.6297838,35019.3672605144,14689.5236241556,71180.96751473,12790.602189551,36366.8872389469,28160.316795799,23979.3284410595,24233463.7660447,438457.533244529,41.2705221176148
